model,SEN,SPE,PPV,NPV,AUC,ACC,BRIER,SEN_SE,SPE_SE,PPV_SE,NPV_SE,AUC_SE,ACC_SE,BRIER_SE
diagnosis ~ sd + se + (1|study),0.6584843371174824,0.5207034403981823,0.580549430444613,0.6118507754871392,0.5895938887578324,0.5887606505829824,0.24025646558340957,0.05877152178364977,0.02999087697549294,0.009958401448941627,0.03514002451906621,0.01688334327975193,0.016543697944891782,0.005738481325497279
diagnosis ~ sd + Gender + (1|study),0.5367819068657044,0.36736054706739646,0.4526067136623014,0.4622665546650509,0.5514114769948456,0.4510883969535476,0.2581430857763796,0.09114780625722903,0.0427681382785321,0.020540979195426697,0.044454734052822804,0.024432041330870204,0.02601038434029761,0.002998663670208329
diagnosis ~ range + iqr + (1|study),0.6611918879153659,0.4081937369138062,0.5241594283170227,0.5769720884088654,0.5346928124145861,0.5336685002809949,0.2508314509289683,0.09265821968787842,0.04680805110436321,0.02694987774352923,0.06094508380203146,0.033676407068241966,0.033180327491967254,0.0019144245917805034
diagnosis ~ range + median + (1|study),0.5974334014243423,0.526587642434065,0.5631181953426758,0.5750832692482725,0.5620105219292036,0.5615704421618564,0.2508814750313192,0.07661535451358045,0.05856061523853406,0.023140267931853354,0.04702735782100787,0.028923547773985495,0.028492330913102538,0.0044201007191193445
diagnosis ~ range + mean_abs + (1|study),0.7453724714050045,0.3853976608608503,0.5501319962106342,0.6225260281717172,0.5653850661329274,0.5653474832404888,0.24487437287400624,0.061727105860400824,0.03438174760281233,0.012855341461092181,0.0507099902380847,0.019625892708621414,0.01920417609642116,0.004430093148640389
diagnosis ~ range + coef_var + (1|study),0.7933129134289136,0.40411074093003213,0.5757523293505301,0.658120213214739,0.5987118271794729,0.600288803857887,0.24298217486685542,0.017620463734076438,0.027070377555987797,0.01034981515289635,0.01854399523466108,0.011973060142623008,0.011513183106813252,0.002167819191811147
diagnosis ~ range + se + (1|study),0.6473146389750676,0.49475735222441175,0.5626657925768105,0.5991972728542767,0.5710359955997396,0.5699446552374852,0.24853737623950786,0.07195714908106556,0.04044878058616753,0.023954133890648956,0.05573922490489253,0.030399362068911803,0.029667256252311827,0.008142086260240171
diagnosis ~ range + Gender + (1|study),0.5677588500824841,0.376263482076889,0.4745161982198577,0.48181420205810455,0.5329640751951424,0.47154651424551175,0.2584289308002773,0.07783840957729443,0.03910657398713971,0.015283175027396073,0.0399961132824241,0.018658167289671377,0.020389725721590594,0.0037697205924144854
diagnosis ~ iqr + median + (1|study),0.5785759129333639,0.46127192275210654,0.5100410674189173,0.5453422525002589,0.5708808693916748,0.5195326981494992,0.25218500211989003,0.10870539517754114,0.06300603259482424,0.036011035621258077,0.05936742310826152,0.025114951140696826,0.04206282526747929,0.003057548195133609
diagnosis ~ iqr + mean_abs + (1|study),0.7244964298627634,0.38981479295934307,0.5432308208907469,0.6108466218387588,0.5571556114110532,0.556939229574744,0.24511450269982685,0.07118703990518187,0.03351855843486282,0.016699329935687946,0.05479907143792479,0.024404066012202016,0.02402482661173386,0.00514429438553548
diagnosis ~ iqr + coef_var + (1|study),0.7680750455195524,0.4349622846795471,0.580816513156362,0.6480584383944049,0.6015186650995498,0.6025161756810998,0.23966032666919698,0.01605453466767012,0.025727746180907087,0.012250618576557433,0.019368142806674565,0.013501428885926604,0.013264605632530837,0.0032141299790525613
diagnosis ~ iqr + se + (1|study),0.5926187906972239,0.5182760019217724,0.5510375204200191,0.5645969594284801,0.5778624776360112,0.5546748136369823,0.24444585305206779,0.062401443791640046,0.026190203490045104,0.025967201116922536,0.044573163813765526,0.019843072862445858,0.03368181036680982,0.004639925130062218
diagnosis ~ iqr + Gender + (1|study),0.5089568698205368,0.3852936090303092,0.4384699555238345,0.4640841125136357,0.5697678561867418,0.44569745076518397,0.25713124181154884,0.10307828676148431,0.030946080707770444,0.038875344769186075,0.05665728104041999,0.032735701467671574,0.04018954180765098,0.0026034736382084594
diagnosis ~ median + mean_abs + (1|study),0.7196372630400604,0.44393996540246616,0.5685396601600522,0.6206386917486747,0.5817886142212633,0.5821203769144826,0.24385954254822215,0.054589046378428735,0.04637661574580266,0.011430961689772935,0.039589152884006475,0.01877879774178023,0.017620693107525894,0.0033498719658384517
diagnosis ~ median + coef_var + (1|study),0.7640030531997662,0.4209327627315968,0.573078612374406,0.6423129534862808,0.5924679079656815,0.5934588630039457,0.24555041843990374,0.03388891533718018,0.029149537617631026,0.006983819753134445,0.027643824111324534,0.012105085366684814,0.011024504125773866,0.003173056710357454
diagnosis ~ median + se + (1|study),0.3389279893190469,0.5679211937515731,0.44849731933851844,0.4521204321867888,0.5158649616715247,0.4534744978178915,0.2552030187898295,0.0464507068852458,0.07393016833839028,0.022704050470135975,0.03448265018062846,0.03606873102819306,0.02871505598195105,0.0032445321535910327
diagnosis ~ median + Gender + (1|study),0.5901266759104717,0.4461561447477864,0.519593984962406,0.5183358964469497,0.5319317000068117,0.5175831625193977,0.25131665024230954,0.03983047330392857,0.036111681908354676,0.01803545480894896,0.017598314024771307,0.010328886155395284,0.016967418474774693,0.0029480711862259817
diagnosis ~ mean_abs + coef_var + (1|study),0.7474314341564516,0.3995626568262382,0.5581870554578506,0.614190334500412,0.573497045491345,0.574477241276095,0.24393268308234317,0.03465398180926758,0.02215205721553812,0.005717597746480554,0.0315514193131028,0.013447978881139322,0.011934836521404125,0.0033435087605971636
diagnosis ~ mean_abs + se + (1|study),0.7245229678021804,0.4536973495128609,0.5702445644790795,0.645724084344774,0.5891101586575207,0.5887796977963693,0.24251495007167012,0.07314868054497813,0.03205498284289939,0.017178161646528196,0.05762231735574287,0.026712694323316178,0.026375748353223358,0.00768351274139997
diagnosis ~ mean_abs + Gender + (1|study),0.6727917064828236,0.3890698245881677,0.5237630853576802,0.5591209391209391,0.5400698924224806,0.5311775640972674,0.2513246822573243,0.06900750512837746,0.02798913092090695,0.015009048467811488,0.05063741396657439,0.02111060231894141,0.024010915532276314,0.004480281985065159
diagnosis ~ coef_var + se + (1|study),0.7147413385734624,0.5060407456483295,0.5985386082963169,0.6386140989729225,0.6103910421108959,0.6108338503429798,0.2294902040738886,0.04187212411552515,0.05248085354749588,0.0219639912990879,0.035896656037399784,0.025274250174966966,0.02439520242872045,0.007590870804854959
diagnosis ~ coef_var + Gender + (1|study),0.6528546873032732,0.44983995721149544,0.5421661328697805,0.5743121325035843,0.5513473222573844,0.551613519122413,0.2483460428188255,0.06494253291247885,0.023470970984835044,0.01541055918035426,0.03763260264767128,0.0222256939922213,0.02203236132912602,0.0029440132217489205
diagnosis ~ se + Gender + (1|study),0.5494906995644974,0.3370787478598087,0.4459452581094518,0.45809623465709964,0.5742354059029294,0.44267396167180845,0.2578642001156412,0.10117050446438222,0.050988086270339524,0.03590944915960727,0.06759334150332541,0.03819431374686148,0.04445462778357672,0.003969190803019652
diagnosis ~ mean + sd + range + (1|study),0.5491452170572416,0.5918634176754853,0.5800040435507443,0.5702644728475573,0.5705043173663634,0.5699274254618726,0.24975121352518545,0.06692874276072887,0.05120373856773622,0.024770009788472172,0.037679647496839615,0.027485375709726017,0.02753496060513403,0.006574145496752664
diagnosis ~ mean + sd + iqr + (1|study),0.5441035634384372,0.567006977067187,0.5513046131386687,0.5709111522639204,0.6013280158129017,0.5558657183481962,0.25138194808724895,0.11563281617232525,0.07816876707943628,0.04650217724918244,0.054747006125195105,0.025160024462957255,0.049821442749811644,0.004373891836383725
diagnosis ~ mean + sd + median + (1|study),0.6515145591947882,0.4772523285256725,0.5506429386338534,0.6130798653357821,0.5643834438602303,0.5640301686524065,0.24879049159298905,0.11070298198598956,0.06529558825848313,0.023245216713086637,0.056237908180749224,0.032160251336893944,0.03242895301278542,0.0032645551195028192
diagnosis ~ mean + sd + mean_abs + (1|study),0.7195203821059734,0.44691421950029114,0.5711305054856004,0.622475983828493,0.5832173008031323,0.583543908811718,0.24389763340404252,0.05431268283338874,0.05243933726054713,0.010742063908511464,0.03641248676697104,0.014867995893045256,0.013602758010347665,0.0035921238769189017
diagnosis ~ mean + sd + coef_var + (1|study),0.7395531920989679,0.4054533147384219,0.5568516990936007,0.6132562798630423,0.5725032534186949,0.5735536434506738,0.24003833737451039,0.04379869100604456,0.01874574959752041,0.013482366157924187,0.035041997550808855,0.01997086939315518,0.01949532027356045,0.003321874409313844
diagnosis ~ mean + sd + se + (1|study),0.5988992883938055,0.5702544029366244,0.5880962652116191,0.5904857131751373,0.6096817367509095,0.5841463147579555,0.24155527865451548,0.07150544619961022,0.060827669148336067,0.04744927549361778,0.054971013665728374,0.03148678001013053,0.04705077381488705,0.008457764743670536
diagnosis ~ mean + sd + Gender + (1|study),0.6521436258906175,0.48140356051309435,0.5627887943496309,0.5753377669267087,0.5667735932018559,0.5670682195537762,0.24624135536536085,0.029461485513449397,0.04268007278791258,0.02163954441395065,0.01658625963755163,0.01877353535896587,0.01919508402843886,0.002931078681118706
diagnosis ~ mean + range + iqr + (1|study),0.5505197925309194,0.6106694930070726,0.5877664157325836,0.5791544822076644,0.5805946427689961,0.5800795572232794,0.24883353231504962,0.07133469846841763,0.04804294163490777,0.02694677053080704,0.03974503280508502,0.03254641347139237,0.03267935381123916,0.005865600038355058
diagnosis ~ mean + range + median + (1|study),0.6185426096101138,0.5471241907689499,0.5835379719486139,0.5948246221904827,0.5828334001895319,0.5820776234850046,0.24658613671864962,0.06236016948412064,0.05213530874649713,0.02174302705192601,0.03832588989746798,0.022828928044515466,0.02260313703843937,0.005546124086198516
diagnosis ~ mean + range + mean_abs + (1|study),0.6959972302885811,0.4832287224628303,0.5774136274437958,0.6262155546923689,0.6003492255854304,0.5896237424717441,0.24374509586848056,0.06927345208542195,0.05270884110196834,0.024366697843013273,0.047622287897522056,0.02037347453755792,0.030101088657832953,0.00480763746388584
diagnosis ~ mean + range + coef_var + (1|study),0.7196616319405211,0.45781133287467207,0.5728802798952819,0.62981142848683,0.5887364824075967,0.5888885830731411,0.24603198140648735,0.059677686043606196,0.03995232874568298,0.018164673161678493,0.04020822606563352,0.024724959811117362,0.02470146757089218,0.004731832378879093
diagnosis ~ mean + range + se + (1|study),0.5734295956185009,0.6007535858686623,0.5999091336824124,0.5853936273347098,0.5870915907435816,0.5863157244755024,0.2451467312394169,0.0599792624431551,0.05902917928884175,0.046417709315100676,0.046184754106963585,0.0395470652764931,0.03964078249590501,0.009135470276109649
diagnosis ~ mean + range + Gender + (1|study),0.6308048879847752,0.5061231978311569,0.5687691818629724,0.5720969806398174,0.5684640429079659,0.5677005181811858,0.24384012301223196,0.029692725606566505,0.05186849543887725,0.01904332601988854,0.008606960828908484,0.012739556238644699,0.012918753411751749,0.0018148652090224236
diagnosis ~ mean + iqr + median + (1|study),0.6340581841169045,0.44022364994126767,0.5120970965854278,0.6028067684700009,0.5815687577095849,0.536924827010764,0.24955929646281516,0.13725006024429146,0.06005812677025435,0.04002449721437494,0.07397979561260079,0.0295429319230973,0.04708446790974113,0.00282132269780809
diagnosis ~ mean + iqr + mean_abs + (1|study),0.718108534472183,0.4454541437739802,0.5709795507345642,0.6191611608185579,0.5817813391230816,0.5821171959134689,0.24333526625702562,0.055399128619833385,0.05926107219845936,0.014326487734403159,0.03938356594492257,0.018343139220584365,0.01704584000005097,0.0034985528106721083
diagnosis ~ mean + iqr + coef_var + (1|study),0.7500738381214952,0.4514182057036818,0.5818908423567611,0.6428613275063467,0.6007460219125885,0.6017670460631058,0.24207251675976496,0.028796206635425408,0.026851064183592954,0.010398224944901158,0.02104965789282724,0.011814080548703402,0.011900597585557653,0.0033945863311733966
diagnosis ~ mean + iqr + se + (1|study),0.5149497983499969,0.5353662635201744,0.5274171583102417,0.5284152390833375,0.5730803253198204,0.5253912156036323,0.24763301625646789,0.07836984633028415,0.06311003685319562,0.03643336205551705,0.043349563670560254,0.01825302471906025,0.039199913230313056,0.006790075746752137
diagnosis ~ mean + iqr + Gender + (1|study),0.6459299295496147,0.4676190471457863,0.5537760936072966,0.5641159801051855,0.5567744883477005,0.5571849706314081,0.24646130756907014,0.028933586129252183,0.04078134624240555,0.01963310203343492,0.013485521458594194,0.016355937773899105,0.016967787157324173,0.002822010294486209
diagnosis ~ mean + median + mean_abs + (1|study),0.7253955015544443,0.44533941635068486,0.5721681047364674,0.6260567105202824,0.5853674589525646,0.5858256660540913,0.24367418915528874,0.053038117147831784,0.050592687930581505,0.011199982475742394,0.03417095001549811,0.015407303073035504,0.01440441581531462,0.003526717223369497
diagnosis ~ mean + median + coef_var + (1|study),0.7834274427212299,0.41480085630014435,0.576644383039307,0.6596367892736889,0.5991141495106871,0.6002032262022623,0.24349911044033773,0.032276863126639035,0.026842825207765077,0.004186884023170865,0.025312937013776272,0.007584803455316881,0.006312063438539619,0.0034624437395622152
diagnosis ~ mean + median + se + (1|study),0.3695566756764173,0.5697018519793038,0.466370116944005,0.4676546988285031,0.5260003196356656,0.4700143821978149,0.25457153763615264,0.0783181907630996,0.08765995131851127,0.024936290327936754,0.03421582698348747,0.03015327063898462,0.029344572506603262,0.0030191236584185426
diagnosis ~ mean + median + Gender + (1|study),0.5781941772098774,0.5002281090096454,0.5414265093115985,0.5403540378651707,0.5392111431097614,0.5381506393288337,0.24969784646479187,0.04722522558914182,0.04723503353060352,0.01599788717919675,0.01207782096506539,0.011311533107814341,0.011431116027386156,0.003421026104105911
diagnosis ~ mean + mean_abs + coef_var + (1|study),0.7283626156955291,0.44989389007419167,0.5738021828493118,0.6292334625912853,0.5891282528848604,0.5896685140911944,0.24267352266124045,0.048618462032215884,0.03909913411852675,0.012290120462947154,0.03691405853553528,0.019284367511078655,0.018355994897070505,0.00364136789025574
diagnosis ~ mean + mean_abs + se + (1|study),0.6618599569581962,0.45298107024432366,0.5505004152714879,0.5835973276948887,0.5744559754094098,0.5570160284434249,0.24341110479404102,0.07076765656997613,0.054290630624652544,0.022700372077861124,0.05072226823298642,0.019291964480394958,0.02978757717203925,0.006481878965507857
diagnosis ~ mean + mean_abs + Gender + (1|study),0.7089509024412685,0.4796488293164862,0.5830454322306955,0.6202132835717742,0.5942998658788774,0.5948447698660205,0.24260085371184528,0.031679037291980225,0.04440752606389227,0.015436595582199853,0.008761929855004234,0.009712431775663527,0.010773776507081959,0.0024070863811404154
diagnosis ~ mean + coef_var + se + (1|study),0.6840721113647149,0.5013238438991472,0.5808178062352215,0.6217415908500987,0.5926979776319311,0.5925070706475886,0.23177643880359075,0.05727973874334465,0.03277845457988162,0.017149415669794197,0.0493580993598636,0.026797742452387207,0.025836411140329193,0.009084097486223167
diagnosis ~ mean + coef_var + Gender + (1|study),0.6968893610556016,0.4671624895614816,0.5734669721439382,0.5983545123438572,0.5820259253085417,0.5828103816157693,0.24331996114863802,0.011141918851538849,0.0436946739437001,0.01966432591231965,0.015711310910116454,0.018037383041719562,0.018507684890778156,0.002598340456740016
diagnosis ~ mean + se + Gender + (1|study),0.5515762960966176,0.5169886902488772,0.5364999788766882,0.535762693278908,0.5342824931727473,0.5327711883859015,0.2497262732203688,0.059402634072830786,0.049516432955171864,0.014043416772298738,0.018455597507444195,0.013708380773651123,0.014093082536152423,0.003294211975652352
diagnosis ~ sd + range + iqr + (1|study),0.6562134491714473,0.4232113682059977,0.5320125304983582,0.5696281647025624,0.5397124086887225,0.5387924421665892,0.2535121938036629,0.07992558061082779,0.04905854784838853,0.02560480407278777,0.05277550821501511,0.032204271968698676,0.03183425562853124,0.00669411609634177
diagnosis ~ sd + range + median + (1|study),0.5829694829333962,0.5380861088839235,0.5642557362117714,0.5689366497207644,0.5605277959086599,0.5600044111173813,0.25349598915655314,0.07493560342286491,0.06224484390409543,0.03277676618272497,0.05278089077594199,0.03678193946732053,0.03641708211665574,0.005878947078310783
diagnosis ~ sd + range + mean_abs + (1|study),0.699510296579254,0.41764782735123307,0.5450003289375317,0.6112972119105361,0.5585790619652435,0.5577875210804355,0.24731366824330148,0.08253300744138736,0.04369155548588178,0.021140364775960648,0.05739933354789839,0.02788961731955553,0.027695230594021805,0.0077330548658343535
diagnosis ~ sd + range + coef_var + (1|study),0.6585452417136659,0.5242498988137668,0.5826674227120766,0.6090312808830215,0.5913975702637163,0.5911859427375594,0.23664238233608528,0.045305413436788095,0.010892389984184977,0.009423789352633993,0.04007688448917799,0.02096558953941927,0.020023036044903342,0.005860734043901859
diagnosis ~ sd + range + se + (1|study),0.6483607715079885,0.5219618020831237,0.5758413965111794,0.608349920286355,0.5851612867955561,0.5841610084611135,0.2430870055372315,0.06763032319711094,0.029794666828227047,0.016036463732719237,0.04647905719930554,0.026601481019772995,0.026290690708858266,0.0066510341920075775
diagnosis ~ sd + range + Gender + (1|study),0.5590240999396301,0.38057130322816174,0.4711074260664644,0.4798639455782313,0.5163046931643269,0.46927651603889803,0.26140716557021826,0.08306420900870207,0.044215754726080504,0.015957458372813062,0.038508713366415516,0.023768874233690982,0.01992981937498841,0.004529761925738664
diagnosis ~ sd + iqr + median + (1|study),0.5619354142924938,0.4469803518572674,0.49685107907391945,0.5240578792080575,0.5600242949376313,0.5042999617620403,0.2530683593473164,0.10794788463437405,0.0667690196481605,0.0339092347529289,0.055777349524606196,0.026992743635623054,0.04002233161780378,0.0033929366043716483
diagnosis ~ sd + iqr + mean_abs + (1|study),0.7335113845288403,0.39142303083970864,0.5477387868057682,0.6191654034069352,0.5624672076842745,0.5622628558895205,0.24557504099995084,0.06795852267427854,0.034990569849560955,0.013501829245036656,0.0524632896624512,0.02071938127730439,0.020264040414636073,0.0052547804619314615
diagnosis ~ sd + iqr + coef_var + (1|study),0.7619197215478585,0.42538138327357405,0.5750757939149974,0.6393413134484563,0.5936505524107163,0.5949827855475021,0.23892328799584414,0.026917860518345247,0.0341198324020665,0.010531835743061048,0.022811410398591647,0.013594207186695725,0.012694729497563654,0.0037139177240585017
diagnosis ~ sd + iqr + se + (1|study),0.6512223392046024,0.5204918789714095,0.5773570477118148,0.6075371173113839,0.5858571090880059,0.5850012349654545,0.2411730274521874,0.06107004881391418,0.02965125712193038,0.010540968128597662,0.03876648436969874,0.01950260694344227,0.019027498728098027,0.0058315825405199665
diagnosis ~ sd + iqr + Gender + (1|study),0.5235263398002304,0.38656376438792867,0.45231509677802695,0.4659191817381216,0.5648694145763278,0.45402227201135353,0.25788900882722265,0.08864363593792988,0.025564985801540523,0.029711091464223485,0.052779414430668664,0.027298353648807935,0.03595131042631369,0.0027117205955636994
diagnosis ~ sd + median + mean_abs + (1|study),0.7090894788091956,0.4394623534621676,0.5640215737584983,0.6083621808143548,0.5742759161356816,0.5744808131135137,0.24382572557574803,0.05414233285559887,0.05257142539340696,0.010822445504614192,0.03515078863735486,0.01530589155067318,0.014106911084591953,0.0035824620820365627
diagnosis ~ sd + median + coef_var + (1|study),0.7621123473400117,0.3888680857005777,0.557815904483499,0.6258406767033494,0.5754902165202946,0.5766383978477192,0.24076039242228284,0.04336331174062369,0.02227607954611215,0.01285640054528093,0.0383603141286797,0.01985674044477015,0.019141150333219354,0.00341464263178834
diagnosis ~ sd + median + se + (1|study),0.5992928731231255,0.5734430053789583,0.5865567230133294,0.593675090073561,0.6129326843513351,0.5856017497677966,0.24313784079045783,0.07171024254187741,0.050989477357767966,0.046563425921108466,0.057307860764282965,0.031438517657223754,0.04812548038048843,0.008489282212369963
diagnosis ~ sd + median + Gender + (1|study),0.5987203124142473,0.45243454449548137,0.5268015697817022,0.5254853841780671,0.5394143463309499,0.525133124892423,0.25140228960802935,0.03494985582724294,0.03856872390341073,0.02268975182144785,0.01997847081484321,0.014322245203900925,0.021131490982427524,0.0027015320766699048
diagnosis ~ sd + mean_abs + coef_var + (1|study),0.7695310305739661,0.42856262295255754,0.5792610394462885,0.6487062887569056,0.5990468267632618,0.6002173942643991,0.23784988779969843,0.027194322802096795,0.03666514675390533,0.008627143741240918,0.020951428831466442,0.010385320325676618,0.008833617603432877,0.0040090831288971595
diagnosis ~ sd + mean_abs + se + (1|study),0.7037852756354174,0.47933629284948137,0.5756409989684572,0.6352060595024066,0.5915607842424494,0.5910587919202108,0.23858653769752994,0.06771076296487229,0.0318240404642231,0.016336473581904314,0.053030868356119525,0.02587952777718886,0.02533259099845851,0.008284752592182459
diagnosis ~ sd + mean_abs + Gender + (1|study),0.6769435396133098,0.3830644392526886,0.5226073570980845,0.559477470126185,0.5437010227138758,0.530354097976926,0.25154847681534986,0.07065721659793539,0.029727762580433654,0.016330364641260336,0.04971774058170226,0.01817371206650169,0.02386115753681593,0.005416984634709796
diagnosis ~ sd + coef_var + se + (1|study),0.6999027715677127,0.501040679805845,0.5906330893905904,0.6230849273627596,0.6004717256867789,0.6009442394185843,0.23034050419187507,0.03965575706418808,0.04932519891501409,0.021393391069770062,0.03805206929042902,0.026296294819654377,0.02531532913481815,0.007849610938064935
diagnosis ~ sd + coef_var + Gender + (1|study),0.6740086331785884,0.4456243942180857,0.5503145013131783,0.5827565868372668,0.5598165136983371,0.5607246944871584,0.24077769095893542,0.05254955632164065,0.024953419600800882,0.01342264484940612,0.024547943450200695,0.015515599005180146,0.016737476398314504,0.00208045102393013
diagnosis ~ sd + se + Gender + (1|study),0.617258518370852,0.4904702238338033,0.55018572563941,0.5715942813614638,0.560106109133249,0.5524637551119559,0.248555463006495,0.07341187987540153,0.05186106604745325,0.017407375078669452,0.04097090888085362,0.02002602362364925,0.023805037784279167,0.008200513445620932
