model,SEN,SPE,PPV,NPV,AUC,ACC,SEN_SE,SPE_SE,PPV_SE,NPV_SE,AUC_SE,ACC_SE
diagnosis ~ iqr + coef_var + (1|ID) + (1|study),0.26249913238441747,0.10347680203632997,0.2272838750150521,0.12154718808533967,0.8170120327896263,0.18327820018497132,0.04056926182235601,0.03729474296194049,0.031822302182614844,0.04120746723763955,0.03599022506982131,0.03546241819696559
diagnosis ~ iqr + se + (1|ID) + (1|study),0.19504068410883368,0.1495483868135807,0.18272179143962172,0.14735033394033076,0.8277054645387928,0.17174333771341654,0.04551011486889561,0.054435582434020115,0.03198794401695158,0.04177072908133983,0.03379315493406987,0.0333018454756931
diagnosis ~ iqr + Gender + (1|ID) + (1|study),0.19534995879834838,0.14710590809167692,0.1749838158661688,0.12346740496496328,0.8287720665549874,0.1700859411431796,0.06257146474229855,0.08131233838873896,0.03689464409432039,0.061769059065428844,0.03684111184207324,0.0362541683907658
diagnosis ~ median + mean_abs + (1|ID) + (1|study),0.12727577585010186,0.18475734477054556,0.13175354116111831,0.16977470351197946,0.8439834396896763,0.15658702196585939,0.048238638480720505,0.05062056865199999,0.04419464965489118,0.043661428127658615,0.03923542879957801,0.03916131620305843
diagnosis ~ median + coef_var + (1|ID) + (1|study),0.14052374119067526,0.16473867449223228,0.1408165495722926,0.1533803076356268,0.8473687921585462,0.15356477908782004,0.04766330279232344,0.055685336977316466,0.041966398556219,0.04842382957386865,0.03847658547939575,0.03827955941903316
diagnosis ~ median + se + (1|ID) + (1|study),0.1271705976378258,0.15222986547179537,0.12799277796491754,0.13973894575381257,0.8602997684451894,0.1406017819657337,0.0371052465508538,0.05233985808823302,0.030481785151872807,0.04234162492262003,0.02839551539418965,0.0282098382587355
diagnosis ~ median + Gender + (1|ID) + (1|study),0.21722436357370453,0.1769240478369253,0.20234470557825365,0.16531866585836447,0.802925794294685,0.19657704894579103,0.05059462122942367,0.07073692198300029,0.02884728888203895,0.051677896731776904,0.03227104570520244,0.03140918172976635
diagnosis ~ mean_abs + coef_var + (1|ID) + (1|study),0.24619877436183846,0.12064856752014262,0.21972825766880438,0.13056528189763936,0.8165763290590095,0.18326721797293505,0.04339952178333892,0.05383272520250018,0.034550753330277344,0.048527292304900896,0.04079834287830647,0.040235365582108294
diagnosis ~ mean_abs + se + (1|ID) + (1|study),0.2313961427828911,0.16239279373471077,0.21337803009375628,0.15738313905793921,0.803105531741199,0.19598198451713705,0.047580944525432975,0.06281781087318927,0.028145460216338652,0.04598933912953653,0.03198961253281365,0.031436894769201695
diagnosis ~ mean_abs + Gender + (1|ID) + (1|study),0.19228369939985213,0.16695005437595364,0.17686985198922558,0.1421549330857544,0.8203831231120972,0.1784085512057177,0.06076068654038324,0.08315082722125756,0.036387343055010644,0.05943766891342959,0.03765634889953681,0.0371063037650923
diagnosis ~ coef_var + se + (1|ID) + (1|study),0.24008556001155745,0.14648200707106873,0.21832383797126897,0.160021501707176,0.806716216458687,0.19303012516579512,0.042943911325892356,0.029198909481393445,0.033977189716658786,0.030372617140208807,0.031978209692940816,0.03183282329393319
diagnosis ~ coef_var + Gender + (1|ID) + (1|study),0.1878643329690693,0.16211174571119033,0.17318617895196745,0.14170884847760865,0.8250119606598701,0.17387414481988145,0.05865579899750801,0.07859475815349995,0.03645710804692405,0.0564970357730413,0.03762504328023349,0.03703013230342118
diagnosis ~ se + Gender + (1|ID) + (1|study),0.1968537181968446,0.14710590809167692,0.17576265922565731,0.12346740496496328,0.8280201868557392,0.1708350048135916,0.06370937604425252,0.08131233838873896,0.037430374737755186,0.061769059065428844,0.036953215479367536,0.036369809061314186
diagnosis ~ mean + sd + range + (1|ID) + (1|study),0.1274662326032987,0.16461035204527047,0.1308377490858473,0.15306841885690448,0.8539617076757153,0.14669792892394612,0.04446835917338118,0.05375448518753392,0.039581580372088525,0.04624504793639674,0.039413498509170794,0.03934401559037078
diagnosis ~ mean + sd + iqr + (1|ID) + (1|study),0.1285972804892222,0.17074143026937197,0.1327016139171542,0.15533265788584938,0.850330644620703,0.15049977793121583,0.037391126260161583,0.05391826279704614,0.034051872794354704,0.04571730332203213,0.03237249590440852,0.03209915984629247
diagnosis ~ mean + sd + median + (1|ID) + (1|study),0.1256883066807207,0.17694298065696887,0.13198588030199263,0.16025513748458797,0.8486843563311552,0.15202675442970878,0.03738564469351513,0.055796782988876636,0.035885231262813844,0.04782133357965647,0.036040917514310246,0.03577031236591346
diagnosis ~ mean + sd + mean_abs + (1|ID) + (1|study),0.124293826491411,0.1786624757718292,0.130129355706716,0.16412175175341018,0.8485218488683799,0.15194962291366582,0.03787477655328645,0.04628220754790535,0.034546276819457884,0.03770710841210511,0.03200671276599592,0.03196285379496483
diagnosis ~ mean + sd + coef_var + (1|ID) + (1|study),0.16468713782093705,0.15705720867123157,0.1597444277983746,0.15110045475008982,0.8391278267539156,0.1619356715087321,0.0518679400804832,0.05527940003141697,0.04166334487414804,0.04906044738497977,0.03924168043233234,0.039110840122055526
diagnosis ~ mean + sd + se + (1|ID) + (1|study),0.1347983056072986,0.20473175978905891,0.14557657808906263,0.18604410272518032,0.8302349673018212,0.17005014615341912,0.02966560926760473,0.042582831743507785,0.02852152469897875,0.03407549755989649,0.028014346345562623,0.02793221609645552
diagnosis ~ mean + sd + Gender + (1|ID) + (1|study),0.22625765418537758,0.15725232190001368,0.21168757042044714,0.1531505809586849,0.8082450119573044,0.19146987714237024,0.04298137380037884,0.07120522172598401,0.0283048707831356,0.05317926336971238,0.03932893409959645,0.03854459239115663
diagnosis ~ mean + range + iqr + (1|ID) + (1|study),0.11987035906371768,0.17077666635111965,0.12538405444822556,0.1558307206280066,0.8546764872925813,0.14593749220509278,0.03929691335733713,0.054598602945475014,0.036924125136761535,0.04634004764780259,0.03731868541886453,0.037167816308567046
diagnosis ~ mean + range + median + (1|ID) + (1|study),0.12300959401240327,0.1738774415449181,0.12879128460069683,0.16001137274528712,0.8515564822213393,0.14897968616631926,0.04452872837727303,0.05555544509894938,0.04201993193650803,0.04832621451808679,0.042216391171787916,0.04213444944252671
diagnosis ~ mean + range + mean_abs + (1|ID) + (1|study),0.12297642284920114,0.17864888074816276,0.12899368237377662,0.16461491156034033,0.849187348201318,0.15121245017417725,0.04314873377925832,0.050068958812719756,0.04058086020891744,0.04254022910446337,0.038763141716655174,0.03876517071122009
diagnosis ~ mean + range + coef_var + (1|ID) + (1|study),0.11845441043301684,0.17083451663458607,0.12395606830889433,0.15619985001874767,0.8553555364661986,0.14518569946856724,0.041829502535840155,0.05513267621934972,0.03956818328483622,0.04706870390356635,0.039655768437855246,0.039547234162916764
diagnosis ~ mean + range + se + (1|ID) + (1|study),0.12606511919020394,0.17385580048683685,0.1317246822188067,0.16098399582519604,0.8500395401614796,0.1504433743220831,0.04140022685829518,0.05085459560183893,0.03796364821878177,0.043491674053340375,0.03810898047426854,0.03808028735947003
diagnosis ~ mean + range + Gender + (1|ID) + (1|study),0.22783185690718855,0.1727066834925272,0.2151884208328349,0.16353204855982406,0.7997307298001421,0.19976415108063453,0.043604714702785596,0.07328861315308911,0.026836679352744874,0.052563603833451336,0.03631020318388689,0.03554679015008407
diagnosis ~ mean + iqr + median + (1|ID) + (1|study),0.12709352109072594,0.1676758911573212,0.13106145203844924,0.15249150223893831,0.8526152938759763,0.1482267917172475,0.035965691851253936,0.05380368965654529,0.03265750398681411,0.04528310880961993,0.03141328284909128,0.031141288990704896
diagnosis ~ mean + iqr + mean_abs + (1|ID) + (1|study),0.12133021307831622,0.1848640261594261,0.12920542311732403,0.16848416828424775,0.8469028803811288,0.1534821234919679,0.03687613548874929,0.04795358449537107,0.035499973660861765,0.03972811098357973,0.034232325459225534,0.0341641733440043
diagnosis ~ mean + iqr + coef_var + (1|ID) + (1|study),0.1508453652782665,0.17535735697832192,0.15188715043066747,0.16245718294582817,0.8368986388717058,0.16411735814452055,0.044639081743174776,0.05453914236044161,0.03928403943622695,0.0477498902980019,0.03485077449200328,0.03454598742058472
diagnosis ~ mean + iqr + se + (1|ID) + (1|study),0.11840290332421866,0.1755725211070714,0.1252595842326266,0.16045064406358175,0.853012287784355,0.14737551220420134,0.033524024246794966,0.047701255720343026,0.03181527472004699,0.0386028063411802,0.031842048895329475,0.031808630087595005
diagnosis ~ mean + iqr + Gender + (1|ID) + (1|study),0.22171320482668672,0.16030523913203537,0.20659166637065218,0.15424692954104718,0.8089907780206389,0.19063815787610613,0.04506816778017523,0.0708520570114906,0.027299806372673985,0.051336233302594056,0.03645023978174581,0.0356372644719617
diagnosis ~ mean + median + mean_abs + (1|ID) + (1|study),0.11825321945912441,0.18474652424150495,0.1263898382319435,0.16757785032139666,0.8485001281496853,0.15195540593471601,0.03555231397530268,0.048152506806397995,0.03419295876901933,0.039836167399750794,0.03315147008472125,0.03303745546747303
diagnosis ~ mean + median + coef_var + (1|ID) + (1|study),0.14067029255997443,0.1724553763949807,0.14359776163540133,0.16008971143330608,0.8434371655225225,0.1573617537929267,0.04698122641249328,0.05746958633993978,0.0430510649150209,0.05083126150243762,0.04176242283593275,0.04156253729903816
diagnosis ~ mean + median + se + (1|ID) + (1|study),0.1315940650655191,0.15226510155354306,0.13237388501223452,0.14022166511461823,0.8580704166904689,0.14288308727320675,0.03663065134491166,0.052528677220325164,0.030349315533769388,0.04296319839847595,0.028527682780436645,0.028319563463860893
diagnosis ~ mean + median + Gender + (1|ID) + (1|study),0.21288207369002152,0.17076299264775488,0.20102187764805007,0.16360433548926465,0.8081774668311118,0.1914329018848556,0.04622675920482623,0.0682317184311752,0.02912510306208871,0.05053249266128733,0.036273527795604374,0.035464074749949066
diagnosis ~ mean + mean_abs + coef_var + (1|ID) + (1|study),0.136115108980588,0.17249338697135422,0.1397242429458312,0.15976230456756205,0.8456957520240289,0.1550314552509385,0.04089697920086098,0.051450448975392075,0.037003315915821476,0.04339581288800161,0.03476094143201127,0.034599707366711696
diagnosis ~ mean + mean_abs + se + (1|ID) + (1|study),0.12136748523842883,0.1863105068620706,0.13039904486384718,0.1695608147720824,0.8461610039497502,0.15419954299101535,0.030265439959915333,0.04477813003366842,0.028936319474322056,0.03639836971860156,0.029608593246894018,0.02953892839286994
diagnosis ~ mean + mean_abs + Gender + (1|ID) + (1|study),0.2335783926997614,0.1623266075442567,0.21851958163508872,0.15687490495800033,0.802047499877991,0.19754211034357178,0.03817485590588892,0.06946749792621718,0.02235612779827254,0.04830777235012471,0.03329990446366926,0.032600476085344235
diagnosis ~ mean + coef_var + se + (1|ID) + (1|study),0.17854024485322365,0.20185419475842475,0.18396837106644992,0.19296517743143277,0.8098027801941757,0.19059442978015909,0.036252609037442415,0.042328093283757987,0.03283738523410901,0.037336799569992245,0.03310179708482554,0.03307326985891024
diagnosis ~ mean + coef_var + Gender + (1|ID) + (1|study),0.2246768182397815,0.1589184100638457,0.21062774348062274,0.15060453185229475,0.8082023858481864,0.1915327746486943,0.041907638207601045,0.07674783442648643,0.025522887912207776,0.05561090937120893,0.038558518425836776,0.03768893967296575
diagnosis ~ mean + se + Gender + (1|ID) + (1|study),0.20403923983154537,0.17545675428355054,0.19320176133508798,0.1634611450944057,0.810252002942452,0.1890947361842628,0.04827189233973925,0.0711913380657902,0.029490864022224013,0.050832132769088656,0.0351971803568895,0.034395912906215124
diagnosis ~ sd + range + iqr + (1|ID) + (1|study),0.20904481173952486,0.12393942044202917,0.18724985145769088,0.1214121227783042,0.833507883909223,0.16569962393197407,0.05255278444968365,0.055991585486727,0.03501973627585835,0.04664016124264818,0.03435887126408708,0.03386864991602964
diagnosis ~ sd + range + median + (1|ID) + (1|study),0.11833029600622423,0.15998180345629148,0.1203719874778743,0.1468320555729148,0.8608439502687422,0.139873314307068,0.04280152028241429,0.05272944341490885,0.037312426298698895,0.043599849999226135,0.03477661214282523,0.034677049526519364
diagnosis ~ sd + range + mean_abs + (1|ID) + (1|study),0.2151002539894175,0.14843472951700354,0.19602875968201044,0.14359361471350676,0.8182325082467894,0.1808267045345441,0.05425430710850185,0.06170876075011985,0.035351131721656236,0.04689478929352935,0.03574055728715779,0.035236330615997895
diagnosis ~ sd + range + coef_var + (1|ID) + (1|study),0.22670177752238044,0.13993239426214635,0.20802997119356273,0.15079445249896994,0.8166829141077365,0.18316455019540076,0.04531631206170228,0.04156013061169975,0.03810636770538176,0.042038193901356664,0.03931159951156127,0.03901349047525865
diagnosis ~ sd + range + se + (1|ID) + (1|study),0.20824101130079384,0.1634567917185228,0.19769667678775538,0.16033468571615855,0.8141510984903417,0.18530926157367456,0.041775351483312635,0.05500335427047709,0.02896742107330718,0.04142106483932276,0.032445415370444215,0.032040427049893974
diagnosis ~ sd + range + Gender + (1|ID) + (1|study),0.19095966253385718,0.14710590809167692,0.17065188139815005,0.1231734314225821,0.830967214687233,0.16782452097131167,0.06457664259616547,0.08131233838873896,0.039315111777198875,0.06164195916219918,0.03809989880586373,0.037559875086192955
diagnosis ~ sd + iqr + median + (1|ID) + (1|study),0.1226005788408333,0.15226510155354306,0.12297099339270681,0.13906785688156012,0.8625671598028118,0.13835738596819333,0.03883974802782953,0.052528677220325164,0.03252653351414729,0.042271594463905375,0.02847648538347704,0.028291908771190224
diagnosis ~ sd + iqr + mean_abs + (1|ID) + (1|study),0.23739224416235952,0.11024963743152692,0.20834682570967739,0.11695964996352853,0.8261790592030568,0.1733751320745802,0.04855951071984486,0.05097711714802046,0.03343749072628591,0.0429784164667245,0.035963559550183044,0.03539287524564915
diagnosis ~ sd + iqr + coef_var + (1|ID) + (1|study),0.24572318482713867,0.11221324666309046,0.2174366725037597,0.129488543661772,0.8210317842548854,0.17945536917863722,0.043640013981060675,0.03774330767725229,0.035985874969047094,0.043663857197375665,0.03923810770816346,0.03892590884914142
diagnosis ~ sd + iqr + se + (1|ID) + (1|study),0.21178479723622065,0.15001133401759825,0.19618406083700293,0.1456684130288946,0.8191019343730905,0.18008011098900464,0.04571350377074425,0.05798782457065149,0.0294728111297738,0.04391117416595209,0.031731317710322185,0.031253867214386014
diagnosis ~ sd + iqr + Gender + (1|ID) + (1|study),0.19389010478374985,0.14710590809167692,0.1736003736003736,0.12346740496496328,0.8295019935622866,0.16932836538560384,0.0633400282231049,0.08131233838873896,0.03792615213138016,0.061769059065428844,0.03752738212824409,0.036965550401032006
diagnosis ~ sd + median + mean_abs + (1|ID) + (1|study),0.11527887182533404,0.17855579438294866,0.12211683061962911,0.16197607117061344,0.8530826668958585,0.14742951163604354,0.036057049780346545,0.048791091688894075,0.03390981049707774,0.04006976381125101,0.032497303120909184,0.03238832701439955
diagnosis ~ sd + median + coef_var + (1|ID) + (1|study),0.17528702942952054,0.14969940214195954,0.17011347277946912,0.149125175755408,0.83750678421426,0.16344802801018804,0.04492246229769508,0.046000616483955835,0.03707147665619842,0.04431189012549701,0.03633099837222856,0.036182616857015765
diagnosis ~ sd + median + se + (1|ID) + (1|study),0.13197050934280743,0.18947273504131223,0.14057737512699345,0.17329608155257187,0.8392783778079401,0.16101252561821106,0.03010625123585989,0.04622116084128919,0.028403992200360897,0.03643957273096701,0.029687400906033754,0.029674540270501395
diagnosis ~ sd + median + Gender + (1|ID) + (1|study),0.21426075016060978,0.1678783671494536,0.19853086492865152,0.15691071057168882,0.8089304413449684,0.19058720755011366,0.05001427846272136,0.07059296461000063,0.028726393613025068,0.05174965483454623,0.03251001850754177,0.03166296479344338
diagnosis ~ sd + mean_abs + coef_var + (1|ID) + (1|study),0.244450286837747,0.115583433567128,0.21681766472655162,0.13227015187786245,0.8199831397975625,0.18020735490882184,0.04231819025135143,0.034647741966962325,0.03447400937895975,0.03881025884675143,0.03668402932238681,0.03636648414530644
diagnosis ~ sd + mean_abs + se + (1|ID) + (1|study),0.22845496631230286,0.16386271684642495,0.2116773721121375,0.15949654460602014,0.8038411584206361,0.19525560099602574,0.04757013750406385,0.06138893625629283,0.029167187379915527,0.04466640735738772,0.03258325378998794,0.03203685153486516
diagnosis ~ sd + mean_abs + Gender + (1|ID) + (1|study),0.1907799400013559,0.16846520589110514,0.17633256672336817,0.14303007857464592,0.8203774270537695,0.17840575619202215,0.05963249944612107,0.08371360957806909,0.03578707960643015,0.05987549143524459,0.037694078790089874,0.03713977830924645
diagnosis ~ sd + coef_var + se + (1|ID) + (1|study),0.22465161703367478,0.17342814319804484,0.21464834760087784,0.1812114680133614,0.8009601198841402,0.19902835160255922,0.036229986071895474,0.03238350072726871,0.03209355989652812,0.033937271092972565,0.03280805632892725,0.03270344889079361
diagnosis ~ sd + coef_var + Gender + (1|ID) + (1|study),0.2023377901871467,0.19389258780095295,0.19401176014909544,0.1703559876453135,0.8018848110059502,0.197306420474257,0.04949414034310859,0.08313748290209726,0.027241368460433315,0.05723852285559574,0.03486786647139336,0.033992009747654026
diagnosis ~ sd + se + Gender + (1|ID) + (1|study),0.21056027385983206,0.17792207082315775,0.192766712478284,0.15123793005015052,0.805758827658505,0.1928491456044637,0.06486171798334069,0.08959763182371176,0.03701144540364303,0.060256861392284505,0.03931972442593163,0.038718036490707965
diagnosis ~ range + iqr + median + (1|ID) + (1|study),0.11825321945912441,0.1538154891504423,0.11973412433604415,0.1409808720634019,0.8639656456952166,0.136814096171514,0.03947068572639767,0.05257200542878374,0.03383781836988393,0.042486148679183454,0.031678528520018394,0.03155597387330151
diagnosis ~ range + iqr + mean_abs + (1|ID) + (1|study),0.23311219560817026,0.13018243917168995,0.20772705676684852,0.1332974114279945,0.8183526826100699,0.180937630307088,0.05451656075065773,0.05713006094929992,0.03912299430870807,0.04648827165645191,0.03958889209371477,0.039147691593124
diagnosis ~ range + iqr + coef_var + (1|ID) + (1|study),0.24268912809072918,0.10033079843909416,0.21330003270198716,0.11714981132561025,0.8284900367350884,0.17188792584729745,0.04080216852465679,0.03526766926823117,0.0337807729581855,0.040193875262745864,0.03713108065149352,0.03679714236831009
diagnosis ~ range + iqr + se + (1|ID) + (1|study),0.21029587305533046,0.15756170289701132,0.19688712129923336,0.14897515919464813,0.816071212023829,0.1831109319017898,0.04595890801603164,0.06717748587191673,0.02871999547304032,0.049545058966209594,0.03487379514230247,0.03424299893852356
diagnosis ~ range + iqr + Gender + (1|ID) + (1|study),0.19389010478374985,0.14710590809167692,0.1736003736003736,0.12346740496496328,0.8295019935622866,0.16932836538560384,0.0633400282231049,0.08131233838873896,0.03792615213138016,0.061769059065428844,0.03752738212824409,0.036965550401032006
diagnosis ~ range + median + mean_abs + (1|ID) + (1|study),0.11972380769441852,0.18478176032325264,0.12649040182874768,0.16783914418121024,0.8477472159911644,0.1527473549297699,0.039492429086093656,0.048916108163898624,0.03762718310722138,0.04054977223367509,0.034358656527582486,0.03425033690060373
diagnosis ~ range + median + coef_var + (1|ID) + (1|study),0.13322447111768257,0.16163789929843383,0.1326519435013278,0.15093360903508204,0.8525688147919418,0.1482644778509033,0.05108383771744091,0.054820845521109,0.04416126693882705,0.047213910611653316,0.03995895459391651,0.03986427853716938
diagnosis ~ range + median + se + (1|ID) + (1|study),0.11854632219772272,0.17709849315126355,0.12630200929981947,0.16211789435391005,0.8521775923255068,0.14817311717422835,0.035903260336986875,0.04961355622154511,0.03470471902595447,0.041540670514854855,0.03588398382557085,0.035857044053439306
