model,SEN,SPE,PPV,NPV,AUC,ACC,BRIER,SEN_SE,SPE_SE,PPV_SE,NPV_SE,AUC_SE,ACC_SE,BRIER_SE
diagnosis ~ mean + median,0.4583403532849944,0.560257898799853,0.5078174689216316,0.5101820463972531,0.5608308232664021,0.5101474262074682,0.25237449412135304,0.08630386396249794,0.06896037720576102,0.03706742656936362,0.04361383855182222,0.026204849594592385,0.04000308838978001,0.0033360711325910023
diagnosis ~ mean + mean_abs,0.7198040873571865,0.4543751047164669,0.5743037740808287,0.6218755025529679,0.5870895960368266,0.5875375799386524,0.2419299014530049,0.050033808402399,0.049393899338758374,0.016112816925862535,0.042207466390593036,0.022672037679512747,0.021715973963048942,0.0029544983356760376
diagnosis ~ mean + coef_var,0.7308389368521131,0.4341215755385977,0.5685618140543449,0.6179283864157316,0.5824802561953555,0.5835127165752536,0.24320373561922612,0.037340123534774505,0.03717910420859181,0.009320708980103716,0.024714789604571758,0.013321838981998617,0.0125485574082644,0.003849865935544351
diagnosis ~ mean + se,0.38731845143935406,0.5739101971456496,0.47697727910647436,0.48011174890056435,0.5369853801003069,0.4813339529690552,0.2526567998727586,0.07949340019624188,0.07912216142746326,0.03091219884135693,0.03946220669685217,0.030231435377905444,0.034371461137732616,0.003433812845343098
diagnosis ~ mean + Gender,0.5875433757348503,0.49736399406639126,0.5468815100154083,0.5404051436506083,0.5424536849006207,0.5415036364854454,0.24813024027359695,0.038220456630912496,0.056130005505684845,0.025124794649115885,0.02085161585115267,0.021432287936410527,0.021224107745160578,0.003510823973781399
diagnosis ~ sd + range,0.6890916912289311,0.42866438893081,0.5498205501140727,0.6022187921870722,0.5588780400798705,0.5575973796542942,0.25104864427541485,0.07830455842489832,0.06022774963953641,0.01936654682396913,0.047962060046740904,0.02197620031213711,0.02171306396815432,0.0028484685372900643
diagnosis ~ sd + iqr,0.8447438334726899,0.2996014169302644,0.551442999614048,0.6590783807062877,0.5721726252014772,0.5737764551149701,0.24873000250894925,0.02607956276044903,0.03363583924877091,0.007258404742301336,0.022840610369173814,0.0079601839694723,0.006574672290847015,6.048654891102042e-4
diagnosis ~ sd + median,0.5974921369815694,0.4661366843596603,0.5196677035464577,0.5701887289516364,0.5873808225333655,0.5322136141877921,0.251653952561607,0.12718040724725196,0.07811095216942286,0.03869944808850145,0.06274648331113339,0.020985840713502707,0.04607539789802052,0.003750417940515689
diagnosis ~ sd + mean_abs,0.737643913212615,0.3870699812849985,0.547239771306021,0.6181088553774758,0.5623569472488068,0.5623108793066535,0.24339778443904972,0.06908131695112603,0.03745388658332688,0.01705327721700043,0.05466070501105181,0.024528412693291944,0.02413736255377981,0.004580341445266664
diagnosis ~ sd + coef_var,0.7633514738972808,0.4400835462447381,0.5819126636880475,0.6470072505057025,0.6017175100710094,0.6032936365742807,0.23706133865046197,0.022223279828434687,0.030974312794137978,0.006710082394429334,0.02004465327786271,0.01149625076661993,0.009880126337088449,0.003389153992952709
diagnosis ~ sd + se,0.6807314534054113,0.5114796330146971,0.5836124749022327,0.6261412151067324,0.5961055432100543,0.5954825974223262,0.23885735127086655,0.06329615116574566,0.03081016094978559,0.011072752335497798,0.04180341946645336,0.020674772447764264,0.020322887267297345,0.004784462630626484
diagnosis ~ sd + Gender,0.5235466127480574,0.405274571027932,0.46255449572102336,0.47758833613020807,0.5318974240163603,0.4630457855829198,0.25632909626675626,0.09341576565908846,0.05357467838197832,0.0211062149264957,0.04174831318425469,0.0265872872268798,0.02542978918343984,0.0027544731806470216
diagnosis ~ range + iqr,0.7173727813253615,0.4252832365614454,0.558652375900698,0.6170906991559165,0.5713280089434034,0.5705945570201997,0.2489689858314961,0.0616832827282283,0.04543739150554053,0.009912539576044302,0.0403524733730217,0.012414558585146212,0.011828569235046363,9.547227884823824e-4
diagnosis ~ range + median,0.6005404337109411,0.5267033430009977,0.5632657870563567,0.5772740954158498,0.5636218883559695,0.5631770203012648,0.24946613341422974,0.07567380090397498,0.054490550230422714,0.019601820303295773,0.0450839729492761,0.026753947979661727,0.026301599062088225,0.004651278467303331
diagnosis ~ range + mean_abs,0.7675308084240227,0.36876623027593136,0.5521743039769387,0.6271351643851644,0.568148519349977,0.5684009183549926,0.2434996880053568,0.05318244708159638,0.03882418344703485,0.012445700279190142,0.048471353786915354,0.01847032171335954,0.01786468189749628,0.003667173160882993
diagnosis ~ range + coef_var,0.796037095206888,0.3779077179897652,0.56579220234934,0.6487212172634658,0.5869724065983266,0.5888555123004072,0.241841256752316,0.02173024940055204,0.024904895407395457,0.0034954490562496303,0.014655071622740372,0.004571755364734028,0.00285622265608181,0.0017842137357689095
diagnosis ~ range + se,0.6562376818764386,0.5161808899270192,0.576297771675904,0.6197793289267758,0.5984025597841093,0.5848808883868597,0.24579024271094163,0.07991033226519456,0.04507620445949832,0.02583303719780785,0.05600299009511092,0.020133835081617566,0.030595490204943895,0.006452648029277045
diagnosis ~ range + Gender,0.5482763202284371,0.4082226082220616,0.4792673555153787,0.486422648151855,0.519573873225849,0.4774256228623043,0.2566215392172836,0.08205547383657719,0.05406650709020798,0.01551362599739551,0.03337958942602419,0.01915246324479975,0.018493332148442773,0.0036215551393515245
diagnosis ~ iqr + median,0.6308426090855089,0.41782583395718054,0.5091510237819291,0.5735638998682477,0.5752911730702843,0.5246711281369665,0.25090447146030825,0.12652382912653495,0.070519089252269,0.03456544740447031,0.06383893397470258,0.022605647143928088,0.04230598907081925,0.0034109578431296052
diagnosis ~ iqr + mean_abs,0.733286788111326,0.39157659704672854,0.5477607530057204,0.6174496431403648,0.5624316925790273,0.5622656509032161,0.24348557262654513,0.0688412194089873,0.0377184223808375,0.013667588770213599,0.051092490755491646,0.020843647135147383,0.020463811708631097,0.004230843238181676
diagnosis ~ iqr + coef_var,0.7607113701223862,0.4147267814346721,0.5692561446045584,0.6305785745707133,0.5877190757785292,0.5888895654981493,0.2385215306047792,0.013618059482343877,0.012077442108997602,0.005209788300002925,0.01844665370487055,0.008665923598520588,0.007577862914836795,0.002694927767730044
diagnosis ~ iqr + se,0.6147107853898378,0.495674422083122,0.5478843179441981,0.5712109643458625,0.577607685062993,0.5546263382849493,0.2427626328051182,0.07349285325829398,0.035895160252914365,0.025474344430309426,0.047512927702802916,0.021139848225413743,0.03442639814608259,0.004351274378449451
diagnosis ~ iqr + Gender,0.4971921639381838,0.42014209387879403,0.4479417223726505,0.47823539303775714,0.552521866881929,0.4568914806159302,0.25535347885278603,0.10400110083895088,0.04077638871791143,0.040364604311325034,0.05493994371431608,0.03674321483465159,0.04059106375316252,0.0023156191599128365
diagnosis ~ median + mean_abs,0.7243592709365728,0.43456716765757536,0.565873180109668,0.6161285234012507,0.5794632192970741,0.5799383653898711,0.24280867893494687,0.048208231506691214,0.040494204362242256,0.012149456749051315,0.041499190858285545,0.02034870489759728,0.019209067660908182,0.0030650571288864882
diagnosis ~ median + coef_var,0.7773710319702218,0.41008004955330224,0.5724445861861623,0.6536384479244377,0.593725540761762,0.59490012995165,0.24440912324220848,0.038593111818950955,0.02774502101998695,0.00357977873808476,0.029635205379239495,0.010232060712303438,0.009163444073267,0.0031052563150908196
diagnosis ~ median + se,0.3814755346529699,0.5481185158093602,0.45554831712122357,0.4676153546284806,0.5272373953673798,0.46531225559389694,0.2533252233395358,0.08297883421756481,0.07684951777005189,0.03296449916426604,0.04158900379328954,0.03765208313718842,0.03631161089428906,0.0035028754116265557
diagnosis ~ median + Gender,0.5871523282766814,0.44975022508605283,0.5215941853788268,0.5167859665252507,0.5184512766813671,0.5178395143480409,0.25021096573402357,0.04070749280467455,0.04690838481112926,0.012399303713995075,0.0081841931477331,0.008517162286321487,0.008679173239742044,0.003243112090239005
diagnosis ~ mean_abs + coef_var,0.7637405893974955,0.4103096617592897,0.568517828213858,0.6351555421322863,0.5870251255783925,0.5880467980722669,0.24258463925142126,0.030643665664177446,0.02543536367127535,0.003507915474243039,0.025539793166213735,0.009053057625784296,0.0071753829644929,0.0025970736354067954
diagnosis ~ mean_abs + se,0.7242575984965635,0.4449183060410024,0.566847023976901,0.6403119946773652,0.5845879522687829,0.5842626356245967,0.24035748983736793,0.07398176577850757,0.03874584721984869,0.013982946138713393,0.052233030001038815,0.022085165227352335,0.02173481584742892,0.006432352678407082
diagnosis ~ mean_abs + Gender,0.6695519895434162,0.39833691408781535,0.5247867615537702,0.5645095369106742,0.5339444518156158,0.5340942782364949,0.2497669093619034,0.07767210485601038,0.03494852138404807,0.017911846527101954,0.05007323246114195,0.025777374443935724,0.025345149383918283,0.003996441471669355
diagnosis ~ coef_var + se,0.730850639573924,0.4766828572921711,0.5872728877784947,0.636617407079033,0.6037667484330476,0.6047554384352362,0.22952219983898373,0.027734908652982497,0.028222073061099844,0.011415100960384502,0.02951385574421512,0.018463086928022523,0.017401390068801783,0.006857109482511334
diagnosis ~ coef_var + Gender,0.6553978098154359,0.44881811084081186,0.5417537596740383,0.5769745813474637,0.5521079603281239,0.5523939680229485,0.24698874639313373,0.07889321715982082,0.04534288956806605,0.014463288422833958,0.0361435220187601,0.021103469768295736,0.021015303868766794,0.0026999681713786266
diagnosis ~ se + Gender,0.5450789348586149,0.35531841632509326,0.4526146726801791,0.46467547832530154,0.5644920183140736,0.4494046746904702,0.2556286728169085,0.10188388010566285,0.06318039228256338,0.037265562639590626,0.06653315845383777,0.040989963469557106,0.04520736797792021,0.003112258014161936
diagnosis ~ mean + sd + range,0.5418810551496819,0.5732315764653617,0.5671861471861471,0.5570775158978115,0.5575563158075219,0.5571842568458149,0.2480020466717571,0.06693825028807382,0.0573178157454756,0.026640933218007506,0.039638775374487414,0.029549857334986378,0.029415964702480715,0.006610661397862869
diagnosis ~ mean + sd + iqr,0.5309677828103966,0.5679231151926274,0.5453140858928827,0.5617003642888304,0.5952181945616016,0.5496563073877313,0.2503025077133898,0.10910282804954571,0.06809270807567801,0.04318696324582525,0.05164711493592562,0.021791407054168304,0.04674908851337823,0.004670083452326278
diagnosis ~ mean + sd + median,0.6561585220430853,0.4401134983635865,0.5366176188343675,0.5972550760899402,0.548136010203336,0.5481021750327187,0.24772865119855003,0.11203088174724934,0.07151213784616807,0.01610955907815523,0.05251530489176402,0.025714969131860364,0.02571733282514343,0.0033063080892855126
diagnosis ~ mean + sd + mean_abs,0.715340815542506,0.44061778139649177,0.5669078769371181,0.6114310818943104,0.5779792984694989,0.5783429013576629,0.24279355910756176,0.04780169167327899,0.0486906481930036,0.013170480668075454,0.039186266839372035,0.01830882459687203,0.017074510321433332,0.0031764680286752982
diagnosis ~ mean + sd + coef_var,0.76145786253418,0.3917591008185919,0.5574941390340143,0.6361544041179908,0.5766084816763859,0.5779855091050529,0.23880358378154923,0.058334078734996575,0.027955877175470097,0.016924965265259453,0.04302465809456394,0.023874937111337622,0.023727978580609904,0.0025982667230572093
diagnosis ~ mean + sd + se,0.5951742162001181,0.5754976635856525,0.5899402434979634,0.5861594202898551,0.592692684533382,0.5851631547057731,0.240509515485658,0.05170269006192593,0.048631667025968474,0.026409809429674788,0.03760112431356101,0.023715520276795913,0.02963513350041582,0.008072688475941796
diagnosis ~ mean + sd + Gender,0.6478977170007457,0.4875346387371958,0.5641378514275279,0.5747496910459499,0.5677161778689708,0.5679341190638594,0.24539733144709908,0.02699469242999666,0.04242311041632996,0.025091463404293007,0.02340042280555828,0.02357632855140772,0.023903562024797858,0.0031061267305707045
diagnosis ~ mean + range + iqr,0.547512273733927,0.6010482413389595,0.5783181141221584,0.5750592331312395,0.5742802575364432,0.5738361590126545,0.24744281921169656,0.07208513654706104,0.03910990775649483,0.02368200876551585,0.03979912471820201,0.03135309213517073,0.03154666777391832,0.006129351103309454
diagnosis ~ mean + range + median,0.6170729898759351,0.5315498426364623,0.5756793656179594,0.5852115987460815,0.5743114162561986,0.5736860080062692,0.24522184835595576,0.05829063470911223,0.05357550144980561,0.023208282254208543,0.039306608955386395,0.023773708871205345,0.0232977954864904,0.0053986600505838344
diagnosis ~ mean + range + mean_abs,0.6975917059582188,0.4723055371210403,0.573933202464431,0.6152641084671795,0.5849486215396296,0.5851740098717324,0.24275921613009716,0.0564223283141435,0.04702013914153085,0.01948908295207757,0.04390024838846388,0.02617236642448403,0.025496278780501588,0.004656476818292711
diagnosis ~ mean + range + coef_var,0.7253396614120101,0.4236530014938376,0.5604701005994043,0.6141552240614597,0.5744963314529239,0.5751936124025523,0.24501911341823063,0.05259248980804936,0.0362755956441719,0.011333894157272288,0.03470423738474464,0.01859993272906227,0.018087687486718466,0.004772104532292207
diagnosis ~ mean + range + se,0.5792877158546861,0.5825058837920732,0.5900349382497799,0.5789766403604727,0.5808967998233797,0.5804685141222286,0.2434674312801215,0.050065907862302896,0.0525327316177192,0.036389440044428074,0.03979958294058031,0.033551252032131156,0.03353913556128439,0.008584508339882769
diagnosis ~ mean + range + Gender,0.6470935432855432,0.5199591842853287,0.5828878552188562,0.5880911004355664,0.583526363785436,0.5828960863174711,0.24289383561321004,0.02557366643337662,0.055681251999153504,0.024184885682821598,0.013064748471691853,0.018647823540726353,0.019001587055074307,0.0019746349173346157
diagnosis ~ mean + iqr + median,0.6297127617374264,0.4078064547333748,0.49856209922960026,0.5751615380090344,0.5631874489158994,0.518758027420927,0.24861944069813033,0.13559485051644507,0.06952722964600239,0.03458911828383291,0.06821969449919134,0.02779667024494571,0.040997591357133455,0.002928915509100205
diagnosis ~ mean + iqr + mean_abs,0.7169696578689102,0.4483082663955447,0.5707867243960094,0.618085598312363,0.5826389621322274,0.582948915179733,0.24214465608448033,0.04960678154504975,0.04942716190887663,0.015829319082322133,0.0426755720189576,0.021293934451722507,0.02028716785044012,0.003042363324443421
diagnosis ~ mean + iqr + coef_var,0.7352684422789477,0.42967657012170757,0.5677138532306959,0.6165805580007164,0.5824725062003276,0.5836118125153692,0.24091533445282234,0.02449070416049162,0.02569752951013342,0.005669548972715476,0.01817229535587129,0.008022545128355797,0.00699517566244078,0.0030547057622168534
diagnosis ~ mean + iqr + se,0.5163218415968001,0.5382934878635737,0.532310421466221,0.5290954740623615,0.570850397071126,0.5275638771188619,0.24589887256477602,0.0745455220296727,0.06547970280631327,0.03382456981460652,0.0419358584734021,0.016620601162778685,0.03698246984836951,0.006677537762819133
diagnosis ~ mean + iqr + Gender,0.6343642506464745,0.47071982233958476,0.5512050548037115,0.5558984612685889,0.5525420364930296,0.5528440796663859,0.24565284679778587,0.0232818698940999,0.04272111138655803,0.025547803463653273,0.02586046818754397,0.024847912620123522,0.02514669175914213,0.002961658678417652
diagnosis ~ mean + median + mean_abs,0.7256501366393657,0.4422034050751387,0.5709985493884202,0.6199347179833901,0.5839267708572522,0.5844298864510654,0.24264576674324262,0.04710576105554102,0.048405900751155494,0.013727946521538721,0.03612959350170398,0.018731799374403064,0.017809856011585263,0.0031467345335417576
diagnosis ~ mean + median + coef_var,0.7922958460180076,0.4039941997326381,0.5750709889103587,0.6635197089376655,0.5981450228753229,0.599434084402586,0.2424842773251573,0.032349462516283733,0.02876404730893135,0.0035735048164737505,0.02447382929902857,0.00656831080302697,0.004958209314987852,0.003095098778046254
diagnosis ~ mean + median + se,0.3724646809838034,0.593944276221728,0.47759974181082504,0.4831992401977867,0.5395755344105707,0.48343012789680084,0.2528221756333103,0.08264698566612345,0.07895147576847877,0.03402302569768147,0.04204179921333902,0.032433005998823934,0.03727824255001745,0.0033036187250397027
diagnosis ~ mean + median + Gender,0.5904232793770601,0.4928990040061218,0.547211907541687,0.5384236607316998,0.541661141691591,0.5407483378590832,0.24867329458419224,0.03534854620277793,0.060408340473730164,0.025912999295942193,0.01995130387296277,0.021273891020932533,0.020961239168387647,0.0036203199777060857
diagnosis ~ mean + mean_abs + coef_var,0.738868431544727,0.4483082663955447,0.5769377402658763,0.6333470905046247,0.5935883489701359,0.5943052022672468,0.24167740316092498,0.04054099601879649,0.0364583394900488,0.013125704032588264,0.03559081863635158,0.019731321341274054,0.018837255661345132,0.003354791429459143
diagnosis ~ mean + mean_abs + se,0.6573613499856339,0.4607077644687617,0.5530492938153514,0.5824829046922071,0.5590345572271979,0.5585793963693684,0.24149387702504516,0.0653098465384162,0.05164206591472397,0.019520235507391993,0.049008124999771675,0.027667809598931156,0.026710190256130698,0.005573733104506302
diagnosis ~ mean + mean_abs + Gender,0.6986684875160206,0.47806320563783933,0.5786838411971991,0.6079494589988067,0.58836584657693,0.5888801446920983,0.24176067550031205,0.021611642339048703,0.04150126930538582,0.01667642314575464,0.008430133807181888,0.012798362870196648,0.013491142001000891,0.0022010536827901796
diagnosis ~ mean + coef_var + se,0.6849233229596102,0.5015470540623115,0.5805276440945231,0.6212980013809097,0.5932351885109609,0.5932811526970098,0.23133761999676172,0.05931663241136893,0.03151420985902341,0.014768881773320709,0.04241151024680013,0.024167216108976233,0.02342933894109713,0.00799808790344342
diagnosis ~ mean + coef_var + Gender,0.703015614861004,0.4870600552198969,0.5843663287157764,0.6135514675924523,0.5950378350404504,0.5957359515454409,0.24251310008614838,0.011262634788889614,0.04067811786939113,0.024026201934844664,0.023117712407782907,0.02342890102375519,0.02402282299527604,0.0025927263979666814
diagnosis ~ mean + se + Gender,0.5607647083036057,0.5065588100515551,0.5396883031908822,0.5314392203751213,0.5336617591775804,0.5322983616797377,0.2483795994873323,0.048686341339979525,0.05880947692854134,0.019549445536731123,0.014225028824040035,0.01398286407812361,0.013763280714339141,0.0034717320354968263
diagnosis ~ sd + range + iqr,0.6721908927804698,0.4323727494604022,0.5442786123697032,0.5828694141842039,0.58312637436401,0.5514106488431301,0.25094359650280823,0.07232676068978391,0.05184474269847829,0.02852011627818995,0.05074515564812888,0.007470123439247282,0.03289806503114687,0.0056339510058823735
diagnosis ~ sd + range + median,0.5667696069015389,0.5245031646216984,0.5451325993999335,0.5566689562713848,0.5705113785772977,0.5450458227075292,0.25146247525885784,0.08234578697240982,0.0557179318681749,0.029220225300241057,0.053841701005414036,0.025133765499930037,0.036455936852230815,0.005928751158862074
diagnosis ~ sd + range + mean_abs,0.7066642107765119,0.41620314799957697,0.5470658879855784,0.6151654310356144,0.5721231938719286,0.5607042352196631,0.2449162464999607,0.08092135072799664,0.043270544889714685,0.021436919830348056,0.05595440244147685,0.01986167591144264,0.027261236181353662,0.006451925732793333
diagnosis ~ sd + range + coef_var,0.6581933983735638,0.5271797527155055,0.5847703054430823,0.6071662200564245,0.5926865755445346,0.5927749788201582,0.23537864213835188,0.03892566990084297,0.015539319801504454,0.011702422648114934,0.03657834818304298,0.021368334458497246,0.020509022853363378,0.005049837609899113
diagnosis ~ sd + range + se,0.658687091817134,0.49717266574520314,0.5674724238220978,0.6018454747838657,0.5779298787811686,0.5772660811142069,0.24108475359329082,0.062266702744891544,0.02429690849438906,0.01783226749981969,0.04687969964189116,0.028248870865733855,0.027781685602312846,0.0055180067702416445
diagnosis ~ sd + range + Gender,0.5527768642032302,0.39885882965522307,0.4772487907091099,0.48601893737426816,0.5076998775872672,0.4751099443173531,0.2588867365404311,0.08439800432429585,0.05477239547804934,0.017938659528099934,0.038523981190319224,0.024325471584312894,0.021299272013245992,0.004038313998241396
diagnosis ~ sd + iqr + median,0.6127315222093448,0.4190381390313337,0.5033140165931635,0.5540132688020012,0.5714512424830899,0.5163257108790507,0.2517824901565063,0.12522939348588952,0.0761345286282179,0.035655543256551625,0.05980753928572083,0.024439664256963357,0.042602616573889446,0.0037435181722093123
diagnosis ~ sd + iqr + mean_abs,0.7333455287128298,0.37785713936684046,0.541692548561254,0.6112387422544675,0.5556013340398351,0.5554951676133442,0.2440120870598893,0.07087685638183842,0.03593274522117504,0.01642430810358454,0.0564136025717948,0.024406911022341205,0.023880643876183678,0.004416105530675663
diagnosis ~ sd + iqr + coef_var,0.7648843034620687,0.43107047208067467,0.5780561496441787,0.6437927705369566,0.5979773877713717,0.5995455891561072,0.23795781549057551,0.020831780539888115,0.025945872426653083,0.007257654077392159,0.021823745857383774,0.01254226506791172,0.011226270707463307,0.0034101335607126947
diagnosis ~ sd + iqr + se,0.667585165549124,0.5205153213804792,0.5832451328051198,0.6205642489919115,0.5940502434648016,0.5931790028019576,0.23948407755153478,0.06492669828870273,0.03228466389242177,0.012839803072767983,0.0435749981860235,0.02317491017916863,0.022803352422219682,0.004896116605461004
diagnosis ~ sd + iqr + Gender,0.5117616339178775,0.42296263683331276,0.462513255878659,0.48086688805866884,0.5468482314730653,0.46597966064072577,0.2560998500784336,0.09019142271254804,0.03713196761166808,0.03039165608648064,0.05060003263651801,0.03118676880101263,0.035560057031912916,0.00249577199788873
diagnosis ~ sd + median + mean_abs,0.7197162765893911,0.4316507638432167,0.5645124570564765,0.6085778168846662,0.5756835202163039,0.5760985053601225,0.24270229828339987,0.045291705369795654,0.04889747333586889,0.012966069238844339,0.0362157334670021,0.017647490858644217,0.016536824941849024,0.003181281241596208
diagnosis ~ sd + median + coef_var,0.7947423605439102,0.382606883678526,0.5660896765596486,0.6583137842569121,0.5886746221112181,0.5901679913790218,0.2395785441202337,0.03844718817486149,0.01991990462831184,0.010287318572075854,0.038865837636617925,0.01653381694125955,0.015994246376344487,0.0027888411516140675
diagnosis ~ sd + median + se,0.6091012672837095,0.5632184543480927,0.5864100542164895,0.5912543382528979,0.595091408606004,0.5857436650849721,0.241831080451659,0.05450288764834555,0.042266896371530846,0.029815412740104744,0.044510230271261705,0.028076467164790595,0.0343125498772913,0.008079647583616928
diagnosis ~ sd + median + Gender,0.6047353500082323,0.45609909699724316,0.5338640540469837,0.5276135690842281,0.5304172235027377,0.5299867195147313,0.2503306268333276,0.030070543662480673,0.05253601020849653,0.020305636137353176,0.014315507108553359,0.016709657960856418,0.016965248614196304,0.003077782219437074
diagnosis ~ sd + mean_abs + coef_var,0.7844369084072353,0.4266949656836425,0.5828934072216784,0.6609724697959992,0.6055659370454389,0.6070534430282136,0.23678045302529396,0.020144834682017047,0.031964023867815945,0.008748682723867515,0.021358842743345208,0.012214090767257931,0.010650951637622403,0.00337164102601185
diagnosis ~ sd + mean_abs + se,0.7004684821489102,0.4889324456938228,0.5793308293014175,0.6374526175087185,0.5947004639213666,0.5940295665897757,0.23702879527684684,0.0695220610325495,0.036849090751660485,0.012776249318890416,0.04657657399231563,0.020175524181044725,0.019817307101398004,0.0069497631196316426
diagnosis ~ sd + mean_abs + Gender,0.6619059456283474,0.395397067864387,0.5196470532996841,0.5594031087823138,0.5286515067463672,0.5287932001758551,0.24984241797076961,0.08282452377699169,0.038169657186166536,0.019922129854802167,0.05030491731913435,0.026036786180923397,0.025946905343079796,0.004760726892106722
diagnosis ~ sd + coef_var + se,0.7173948500356732,0.48784021826245244,0.5887939213625677,0.6292919239549446,0.6026175341490628,0.6032709612740669,0.23024519976769223,0.023525494114867575,0.033113132991781626,0.012253154078200063,0.02427499443123719,0.015800608516849717,0.014785105231089765,0.006967669268478754
diagnosis ~ sd + coef_var + Gender,0.6827882572064554,0.4597296474462102,0.5636862262769501,0.5952163236222653,0.5712589523263327,0.5721579860446382,0.23966728885416005,0.05553613553704828,0.049915305219005036,0.012627596853747829,0.018041253569656978,0.009692770291324567,0.011280299197761306,0.001397649029498297
diagnosis ~ sd + se + Gender,0.6169151040170198,0.4933217168970284,0.5492343840370156,0.575315896431845,0.5642798565171425,0.55360337587999775,0.24666790349710463,0.08177685226253353,0.05481968483456139,0.02617221774761442,0.04449251622954232,0.025616148937221143,0.03046267902302965,0.007545350232720927
diagnosis ~ range + iqr + median,0.6083343657286195,0.5220115400755871,0.5623399010387308,0.5789139750165766,0.5651729529021033,0.5646270631264608,0.2503070095177509,0.07093222551580826,0.046929164967533285,0.026473153328867734,0.04851172164196803,0.032461032233005414,0.03219818377010974,0.005067646746079257
diagnosis ~ range + iqr + mean_abs,0.7348237186730243,0.4027493543916647,0.5541338987967511,0.6247577448156373,0.5687865365323446,0.5683692082360461,0.24397220916273166,0.0689487962141538,0.0476029562657861,0.015009585369817585,0.04896482910789692,0.019745984094820156,0.019660701745440982,0.004160563872926848
diagnosis ~ range + iqr + coef_var,0.7458386634523191,0.4255470330258448,0.5689031638760006,0.6234472066292436,0.585692848239082,0.5866224893513082,0.23953900652113347,0.01743352908294387,0.012190723951104335,0.004548038581839248,0.01653698015240406,0.0061088303429937514,0.005176249994131531,0.00218320634737842
